S2_sex,age_cat,S1_race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,score_text,v_score_text,T_two_year_recid
Male,Greater than 45,Other,0,0,0,0,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,0,F,Low,Low,1
Male,Less than 25,African-American,0,0,1,4,F,Low,Low,1
Male,Less than 25,African-American,0,1,0,1,F,High,Medium,0
Male,25 - 45,Other,0,0,0,2,F,Low,Low,0
Male,25 - 45,Other,0,0,0,0,M,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,14,F,Medium,Low,1
Male,25 - 45,Other,0,0,0,3,F,Low,Low,0
Female,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,Less than 25,Caucasian,0,0,0,1,F,Low,Medium,1
Male,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,Less than 25,African-American,0,0,0,3,M,Medium,Low,1
Female,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Female,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,1
Male,25 - 45,African-American,0,0,0,7,F,Low,Low,1
Male,25 - 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,3,F,High,High,0
Male,25 - 45,Caucasian,0,0,0,6,F,Medium,Low,1
Male,25 - 45,Caucasian,0,0,0,5,F,Low,Low,1
Male,Greater than 45,African-American,0,0,0,13,F,Medium,Low,1
Male,Less than 25,African-American,0,0,0,1,F,High,High,1
Male,25 - 45,Caucasian,0,0,0,0,M,Low,Low,1
Female,Less than 25,Caucasian,0,0,0,0,F,Low,Medium,0
Male,Less than 25,Hispanic,0,0,0,1,F,Low,Medium,1
Male,25 - 45,Caucasian,0,0,0,1,M,Low,Low,0
Male,25 - 45,Other,0,0,0,0,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,8,F,Low,Low,1
Female,25 - 45,Caucasian,0,0,0,3,F,Low,Low,0
Male,25 - 45,African-American,0,0,1,5,F,Medium,Medium,1
Male,25 - 45,African-American,0,0,0,0,F,High,Medium,1
Male,25 - 45,Caucasian,0,0,0,9,F,High,High,1
Male,25 - 45,African-American,0,0,0,4,F,High,Low,1
Male,Greater than 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,Greater than 45,Other,0,0,0,7,F,Low,Low,1
Male,25 - 45,Caucasian,0,0,2,6,M,High,High,0
Female,25 - 45,Caucasian,0,0,0,4,M,Medium,Low,1
Male,Less than 25,Caucasian,0,0,0,1,M,Low,Low,1
Male,25 - 45,African-American,2,1,3,21,F,High,Medium,1
Male,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Female,Less than 25,African-American,0,0,0,2,F,High,High,0
Male,Greater than 45,African-American,0,0,0,2,M,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,2,M,Low,Low,1
Female,Greater than 45,African-American,0,0,0,7,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,0,F,Medium,Low,1
Male,25 - 45,Caucasian,0,0,0,9,M,High,High,1
Male,25 - 45,African-American,1,0,4,13,F,High,Low,1
Male,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,4,M,Low,Low,1
Male,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,1,F,Low,Low,1
Female,25 - 45,Other,0,0,0,0,F,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,20,F,Medium,Low,1
Female,Greater than 45,Hispanic,0,0,0,1,F,Low,Low,0
Male,25 - 45,African-American,0,0,1,15,F,Medium,Medium,0
Male,Less than 25,African-American,0,0,0,2,F,Low,Low,1
Male,25 - 45,Hispanic,0,0,0,0,M,Medium,Low,0
Male,Greater than 45,African-American,0,0,0,4,M,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,8,F,Medium,Low,0
Male,25 - 45,African-American,0,0,0,5,F,Low,Low,0
Male,Greater than 45,African-American,0,0,0,10,M,Medium,Medium,1
Male,25 - 45,African-American,1,1,2,15,F,High,High,1
Male,25 - 45,Caucasian,0,0,0,4,M,Low,Low,1
Male,Less than 25,African-American,0,0,1,1,F,Low,Medium,1
Male,Less than 25,African-American,0,1,2,2,F,High,High,1
Male,25 - 45,African-American,0,0,0,4,F,High,Medium,1
Male,Greater than 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,25 - 45,African-American,0,1,0,6,F,Medium,Low,1
Male,25 - 45,Other,0,0,0,0,M,Low,Low,0
Female,Greater than 45,African-American,0,0,0,0,M,Low,Low,0
Male,Greater than 45,Hispanic,0,0,0,6,F,Low,Low,1
Male,Less than 25,Hispanic,0,0,0,1,F,Low,Medium,0
Male,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,5,F,Medium,Low,1
Male,25 - 45,Caucasian,0,0,1,1,F,Medium,Low,1
Male,25 - 45,African-American,0,0,0,2,F,Low,Low,0
Male,Less than 25,African-American,0,0,0,1,M,Low,Low,1
Male,Less than 25,Caucasian,0,0,0,0,F,High,Medium,0
Female,25 - 45,African-American,0,0,0,1,F,Low,Low,1
Male,25 - 45,Caucasian,0,0,0,1,F,Medium,High,1
Male,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,8,M,High,High,1
Male,Greater than 45,Other,0,0,0,0,F,Low,Low,1
