S1_racepctblack,pctWInvInc,pctWPubAsst,NumUnderPov,PctPopUnderPov,PctUnemployed,MalePctDivorce,FemalePctDiv,TotalPctDiv,PersPerFam,PctKids2Par,PctYoungKids2Par,PctTeen2Par,NumKidsBornNeverMar,PctKidsBornNeverMar,PctPersOwnOccup,HousVacant,PctHousOwnOcc,PctVacantBoarded,NumInShelters,NumStreet,T_ViolentCrimesPerPop
1.37,70.2,1.03,227,1.96,2.7,3.67,5.22,4.47,3.22,90.17,95.78,95.81,31,0.36,91.46,64,91.01,3.12,11,0,0.0
0.8,64.11,2.75,885,3.98,2.43,4.23,6.45,5.42,3.11,85.33,96.82,86.46,43,0.24,89.03,240,84.88,0.0,0,0,0.0
0.74,55.73,2.94,1389,4.75,4.01,10.1,14.76,12.55,2.95,78.85,92.37,75.72,164,0.88,64.18,544,57.79,0.92,16,0,0.0
1.7,38.95,11.71,2831,17.23,9.86,10.98,14.47,12.91,2.98,62.36,65.38,67.43,561,3.84,58.18,669,54.89,2.54,0,0,0.0
2.51,41.15,7.12,23223,17.78,5.72,11.4,14.46,13.04,2.89,69.79,79.76,75.33,1511,1.58,57.81,5119,55.5,2.09,327,4,1.0
1.6,47.7,5.41,1126,4.01,4.85,5.97,9.06,7.64,3.14,79.76,92.05,77.12,263,1.18,64.62,566,56.96,1.41,0,0,0.0
14.2,35.74,8.81,10320,17.98,8.19,13.28,16.33,14.94,2.95,58.7,69.89,62.76,2368,4.66,65.29,2051,63.82,6.39,21,0,1.0
0.35,47.11,4.21,9603,13.68,4.18,7.29,9.94,8.64,3.0,79.7,86.6,80.7,751,1.64,57.42,1562,48.1,0.45,125,15,0.0
23.14,30.98,9.06,27767,28.68,8.39,11.07,14.66,12.97,3.11,54.56,68.85,61.69,3537,4.71,46.82,5606,46.51,5.64,43,4,1.0
12.63,37.36,7.02,4698,15.61,7.19,11.48,15.26,13.53,2.99,64.64,75.18,70.94,603,2.47,59.76,1807,57.83,2.77,1,0,1.0
21.34,24.98,23.63,4689,19.02,10.16,13.91,18.96,16.57,3.47,56.36,61.46,57.16,1479,7.44,48.07,714,47.14,3.78,20,49,1.0
12.18,34.02,9.6,8759,23.91,6.93,10.16,13.43,11.95,2.92,60.7,71.28,67.77,996,3.56,53.11,1528,50.59,1.51,28,2,1.0
53.52,24.41,13.58,15283,27.71,11.05,10.92,14.18,12.74,3.26,50.22,63.07,59.7,4401,8.51,61.62,2318,61.74,4.06,28,0,1.0
2.65,50.24,3.78,1262,2.89,4.01,7.02,9.76,8.38,3.13,79.92,91.04,80.39,413,1.3,79.94,629,76.15,0.16,8,1,0.0
1.3,40.04,11.27,25484,14.37,6.95,8.68,13.33,11.12,3.22,74.78,86.01,79.01,3034,2.62,39.38,3510,38.71,2.25,82,17,1.0
2.28,69.45,1.59,340,2.35,2.57,5.73,11.09,8.64,3.01,82.05,94.94,78.0,86,0.74,85.62,164,82.53,0.61,10,0,0.0
8.41,39.01,2.71,21272,8.21,4.99,10.73,14.79,12.77,3.14,75.99,87.64,76.69,2898,1.89,58.0,12116,51.84,1.81,47,1,1.0
28.71,35.38,13.12,1384994,19.29,8.98,9.13,14.02,11.77,3.27,52.24,67.42,59.25,527557,10.5,31.59,172768,28.64,4.83,23383,10447,1.0
18.97,28.69,6.9,2328,9.67,3.5,7.15,11.83,9.33,3.32,77.88,90.58,78.19,258,1.69,31.74,353,34.5,0.57,0,0,1.0
0.41,38.36,3.37,728,6.07,3.14,9.73,13.85,11.94,2.93,72.56,84.48,77.2,160,1.78,58.03,545,51.73,1.28,2,0,0.0
13.79,47.11,2.74,904,5.75,5.39,10.45,13.36,11.99,2.96,72.98,82.62,75.63,167,1.41,78.92,437,77.85,1.14,0,0,1.0
